Año,Fecha (dd/mm/aaaa),TRM,Día del mes,Mes,Id Mes
2016,2016-12-31,"3000,71",31,Diciembre,12
2016,2016-12-30,"3000,71",30,Diciembre,12
2016,2016-12-29,"3019,72",29,Diciembre,12
2016,2016-12-28,"2992,81",28,Diciembre,12
2016,2016-12-27,"2996,6",27,Diciembre,12
2016,2016-12-26,"2996,6",26,Diciembre,12
2016,2016-12-25,"2996,6",25,Diciembre,12
2016,2016-12-24,"2996,6",24,Diciembre,12
2016,2016-12-23,"2996,03",23,Diciembre,12
2016,2016-12-22,"2989,14",22,Diciembre,12
2016,2016-12-21,"2988,06",21,Diciembre,12
2016,2016-12-20,"3019,44",20,Diciembre,12
2016,2016-12-19,"2997,2",19,Diciembre,12
2016,2016-12-18,"2997,2",18,Diciembre,12
2016,2016-12-17,"2997,2",17,Diciembre,12
2016,2016-12-16,"3000,47",16,Diciembre,12
2016,2016-12-15,"2964,56",15,Diciembre,12
2016,2016-12-14,"2982,29",14,Diciembre,12
2016,2016-12-13,"2984,02",13,Diciembre,12
2016,2016-12-12,"3002,8",12,Diciembre,12
2016,2016-12-11,"3002,8",11,Diciembre,12
2016,2016-12-10,"3002,8",10,Diciembre,12
2016,2016-12-09,"2989,71",9,Diciembre,12
2016,2016-12-08,"2989,71",8,Diciembre,12
2016,2016-12-07,"3015,47",7,Diciembre,12
2016,2016-12-06,"3049,47",6,Diciembre,12
2016,2016-12-05,"3061,04",5,Diciembre,12
2016,2016-12-04,"3061,04",4,Diciembre,12
2016,2016-12-03,"3061,04",3,Diciembre,12
2016,2016-12-02,"3068,34",2,Diciembre,12
2016,2016-12-01,"3085,6",1,Diciembre,12
2016,2016-11-30,"3165,09",30,Noviembre,11
2016,2016-11-29,"3142,2",29,Noviembre,11
2016,2016-11-28,"3170,64",28,Noviembre,11
2016,2016-11-27,"3170,64",27,Noviembre,11
2016,2016-11-26,"3170,64",26,Noviembre,11
2016,2016-11-25,"3187,97",25,Noviembre,11
2016,2016-11-24,"3187,97",24,Noviembre,11
2016,2016-11-23,"3139,76",23,Noviembre,11
2016,2016-11-22,"3144,72",22,Noviembre,11
2016,2016-11-21,"3163,49",21,Noviembre,11
2016,2016-11-20,"3163,49",20,Noviembre,11
2016,2016-11-19,"3163,49",19,Noviembre,11
2016,2016-11-18,"3135,65",18,Noviembre,11
2016,2016-11-17,"3131,11",17,Noviembre,11
2016,2016-11-16,"3124,91",16,Noviembre,11
2016,2016-11-15,"3100,12",15,Noviembre,11
2016,2016-11-14,"3100,12",14,Noviembre,11
2016,2016-11-13,"3100,12",13,Noviembre,11
2016,2016-11-12,"3100,12",12,Noviembre,11
2016,2016-11-11,"3100,12",11,Noviembre,11
2016,2016-11-10,"3012,12",10,Noviembre,11
2016,2016-11-09,"2984,78",9,Noviembre,11
2016,2016-11-08,"3070,4",8,Noviembre,11
2016,2016-11-07,"3070,4",7,Noviembre,11
2016,2016-11-06,"3070,4",6,Noviembre,11
2016,2016-11-05,"3070,4",5,Noviembre,11
2016,2016-11-04,"3071,12",4,Noviembre,11
2016,2016-11-03,"3070,54",3,Noviembre,11
2016,2016-11-02,"3026,68",2,Noviembre,11
2016,2016-11-01,"2998,55",1,Noviembre,11
2016,2016-10-31,"2967,66",31,Octubre,10
2016,2016-10-30,"2967,66",30,Octubre,10
2016,2016-10-29,"2967,66",29,Octubre,10
2016,2016-10-28,"2966,61",28,Octubre,10
2016,2016-10-27,"2965,18",27,Octubre,10
2016,2016-10-26,"2941,34",26,Octubre,10
2016,2016-10-25,"2929,83",25,Octubre,10
2016,2016-10-24,"2944,25",24,Octubre,10
2016,2016-10-23,"2944,25",23,Octubre,10
2016,2016-10-22,"2944,25",22,Octubre,10
2016,2016-10-21,"2934,03",21,Octubre,10
2016,2016-10-20,"2914,15",20,Octubre,10
2016,2016-10-19,"2905,93",19,Octubre,10
2016,2016-10-18,"2915,67",18,Octubre,10
2016,2016-10-17,"2915,67",17,Octubre,10
2016,2016-10-16,"2915,67",16,Octubre,10
2016,2016-10-15,"2915,67",15,Octubre,10
2016,2016-10-14,"2930,78",14,Octubre,10
2016,2016-10-13,"2919,18",13,Octubre,10
2016,2016-10-12,"2919,51",12,Octubre,10
2016,2016-10-11,"2913,96",11,Octubre,10
2016,2016-10-10,"2913,96",10,Octubre,10
2016,2016-10-09,"2913,96",9,Octubre,10
2016,2016-10-08,"2913,96",8,Octubre,10
2016,2016-10-07,"2924,8",7,Octubre,10
2016,2016-10-06,"2964,93",6,Octubre,10
2016,2016-10-05,"2963,06",5,Octubre,10
2016,2016-10-04,"2937,23",4,Octubre,10
2016,2016-10-03,"2880,08",3,Octubre,10
2016,2016-10-02,"2880,08",2,Octubre,10
2016,2016-10-01,"2880,08",1,Octubre,10
2016,2016-09-30,"2879,95",30,Septiembre,9
2016,2016-09-29,"2914,11",29,Septiembre,9
2016,2016-09-28,"2921,99",28,Septiembre,9
2016,2016-09-27,"2917,58",27,Septiembre,9
2016,2016-09-26,"2917,95",26,Septiembre,9
2016,2016-09-25,"2917,95",25,Septiembre,9
2016,2016-09-24,"2917,95",24,Septiembre,9
2016,2016-09-23,"2862,52",23,Septiembre,9
2016,2016-09-22,"2894,15",22,Septiembre,9
2016,2016-09-21,"2911,11",21,Septiembre,9
2016,2016-09-20,"2928,18",20,Septiembre,9
2016,2016-09-19,"2956,58",19,Septiembre,9
2016,2016-09-18,"2956,58",18,Septiembre,9
2016,2016-09-17,"2956,58",17,Septiembre,9
2016,2016-09-16,"2938,5",16,Septiembre,9
2016,2016-09-15,"2972,65",15,Septiembre,9
2016,2016-09-14,"2976,19",14,Septiembre,9
2016,2016-09-13,"2942,29",13,Septiembre,9
2016,2016-09-12,"2899,29",12,Septiembre,9
2016,2016-09-11,"2899,29",11,Septiembre,9
2016,2016-09-10,"2899,29",10,Septiembre,9
2016,2016-09-09,"2846,13",9,Septiembre,9
2016,2016-09-08,"2840,38",8,Septiembre,9
2016,2016-09-07,"2887,64",7,Septiembre,9
2016,2016-09-06,"2957,56",6,Septiembre,9
2016,2016-09-05,"2957,56",5,Septiembre,9
2016,2016-09-04,"2957,56",4,Septiembre,9
2016,2016-09-03,"2957,56",3,Septiembre,9
2016,2016-09-02,"2986,36",2,Septiembre,9
2016,2016-09-01,"2956,53",1,Septiembre,9
2016,2016-08-31,"2933,82",31,Agosto,8
2016,2016-08-30,"2924,29",30,Agosto,8
2016,2016-08-29,"2882,69",29,Agosto,8
2016,2016-08-28,"2882,69",28,Agosto,8
2016,2016-08-27,"2882,69",27,Agosto,8
2016,2016-08-26,"2915,67",26,Agosto,8
2016,2016-08-25,"2938,28",25,Agosto,8
2016,2016-08-24,"2909,1",24,Agosto,8
2016,2016-08-23,"2883,89",23,Agosto,8
2016,2016-08-22,"2867,37",22,Agosto,8
2016,2016-08-21,"2867,37",21,Agosto,8
2016,2016-08-20,"2867,37",20,Agosto,8
2016,2016-08-19,"2884,02",19,Agosto,8
2016,2016-08-18,"2918,07",18,Agosto,8
2016,2016-08-17,"2905,3",17,Agosto,8
2016,2016-08-16,"2908,67",16,Agosto,8
2016,2016-08-15,"2908,67",15,Agosto,8
